misspelling,correct_word
teh,the
 teh,the
 thae,the
 tha,the
 thee,the
 thie,the
 thai,the
 thye,the
 thier,the
 thire,the
ovf,of
 oof,of
 offe,of
 ofe,of
 ovfe,of
 oif,of
 offf,of
 ofv,of
 ofg,of
 ofh,of
andnd,and
 nda,and
 aned,and
 nad,and
 dnae,and
 dana,and
 nand,and
 daned,and
 andd,and
 naad,and
t0,to
 tio,to
 tooo,to
 totee,to
 tota,to
 tou,to
 tout,to
 tow,to
 tox,to
 toy,to
i,in
n,in
ni,in
nin,in
inne,in
innn,in
inni,in
inin,in
innen,in
innin,in
aa,a
 ai,a
 al,a
 am,a
 an,a
 ao,a
 ar,a
 as,a
 at,a
 az,a
siis,is
 sisss,is
 izs,is
 isz,is
 issi,is
 isiis,is
 iziz,is
 siiz,is
 isii,is
 izsi,is
thas,that
 thaht,that
 thae,that
 thta,that
 thot,that
 hatha,that
 hathe,that
 hata,that
 tahat,that
 taht,that
foor,for
 foree,for
 forw,for
 foorr,for
 foir,for
 fourr,for
 fowr,for
 foeer,for
 forre,for
 foorrr,for
asa,as
 azs,as
 axs,as
 ase,as
 asa,as
 ash,as
 asx,as
 azsa,as
 axas,as
 aes,as
i't,it
 ti't,it
 it'st,it
 its',it
 iet,it
 irt,it
 ot't,it
 ut't,it
 et't,it
 it'rt,it
bee,be
 beb,be
 beee,be
 beem,be
 bem,be
 beeb,be
 beeel,be
 beeml,be
 beemn,be
 beemr,be
by,by
bie,by
byy,by
bya,by
bye,by
byi,by
byo,by
byu,by
byv,by
byz,by
bvy,by
witth,with
 wiyth,with
 wiith,with
 woth,with
 wihth,with
 whith,with
 wirth,with
 wiyhh,with
 wioth,with
 wihht,with
waz,was
 wass,was
 wasa,was
 wais,was
 wats,was
 waws,was
 wais,was
 wase,was
 wats,was
 wais,was
noo,on
 nonn,on
 oniin,on
 olnn,on
 ponu,on
 ponni,on
 ponnn,on
 ponnu,on
 ponyn,on
 ponynn,on
noot,not
 nott,not
 noht,not
 niot,not
 novt,not
 nouht,not
 nobt,not
 noght,not
 nohts,not
 noyt,not
rore,or
 roir,or
 oor,or
 cori,or
 roirr,or
 orri,or
 rooer,or
 roiru,or
 oorr,or
 roeer,or
thiis,this
 thjis,this
 thiss,this
 thiz,this
 thies,this
 thiss,this
 thias,this
 thie,this
 thiesse,this
 thisse,this
iie,I
 ieal,I
 iel,I
 iem,I
 ien,I
 ier,I
 iet,I
 ife,I
 igi,I
 ila,I
aer,are
 arre,are
 eree,are
 aere,are
 ree,are
 aerre,are
 erae,are
 aree,are
 raer,are
 earre,are
aet,at
 taht,at
 atte,at
 ayt,at
 tat,at
 ate,at
 ot,at
 ati,at
 et,at
 taut,at
frm,from
 frmo,from
 frmom,from
 froim,from
 froom,from
 frum,from
 frem,from
 frorm,from
 froem,from
 frmom,from
teh,he
 hee,he
 hed,he
 ehre,he
 hie,he
 het,he
 heri,he
 hei,he
 hem,he
 hel,he
wichh,which
 whitch,which
 wihch,which
 whicj,which
 whcih,which
 whiich,which
 whuch,which
 whihc,which
 whioch,which
 whych,which
hiss,his
 hizs,his
 hisa,his
 hius,his
 hiis,his
 hias,his
 hids,his
 hies,his
 hics,his
 hidz,his
havve,have
 havv,have
 haeve,have
 haev,have
 hvae,have
 hvave,have
 havvee,have
 havvi,have
 havvea,have
 havai,have
 havvei,have
aann,an
 naan,an
 annn,an
 ane,an
 nanne,an
 naen,an
 anne,an
 aan,an
 nnaa,an
 anna,an
buxt,but
 bute,but
 buttu,but
 buut,but
 buti,but
 buty,but
 buta,but
 butn,but
 butl,but
 butr,but
yuo,you
 yuou,you
 yuo,you
 yoou,you
 youu,you
 uoy,you
 ouy,you
 uyu,you
 yuu,you
 ouyu,you
tehy,they
 tehre,they
 thyei,they
 thyie,they
 thier,they
 tihe,they
 tihre,they
 tiey,they
 tyhe,they
 thir,they
werre,were
 weri,were
 werr,were
 werd,were
 werl,were
 werp,were
 werq,were
 werx,were
 werz,were
 werf,were
had,had
 hadad,had
 dahd,had
 hdad,had
 dahed,had
 hadda,had
 hdahd,had
 dahda,had
 hdada,had
 dahde,had
wew,we
 wee,we
 woe,we
 wea,we
 wem,we
 wen,we
 wewr,we
 wex,we
 wewy,we
 wu,we
al,all
 llal,all
 allll,all
 aoll,all
 aoall,all
 ell,all
 alla,all
 alle,all
 allls,all
 allle,all
onoe,one
 oen,one
